date_capteur,date_satellite,days_diff,station_id,latitude,longitude,pH,oxygene_dissous,COD,CODMn,NH4N,TPH,DIP,DIN,quality_score,NDWI,chlorophyll_index,turbidity_index,is_interpolated
2018-03-26,2018-03-26,0,63,42.2059018,123.5529584,8.351515151515152,7.638181818181818,0.86,2.6242424242424245,0.22121212121212122,0.014,0.008,0.145,10.0,-0.30197143474103094,1.3315765334975413,193893.9393939394,True
2018-04-02,2018-04-02,0,63,42.2059018,123.5529584,8.327272727272728,7.677272727272727,0.86,2.6363636363636362,0.22181818181818183,0.014,0.008,0.145,10.0,-0.3059262732516889,1.332829134028277,192090.9090909091,True
2018-04-09,2018-04-09,0,63,42.2059018,123.5529584,8.303030303030303,7.716363636363636,0.86,2.6484848484848484,0.2224242424242424,0.014,0.008,0.145,10.0,-0.30988111176234695,1.3340817345590126,190287.87878787878,True
2018-04-16,2018-04-16,0,63,42.2059018,123.5529584,8.27878787878788,7.755454545454545,0.86,2.6606060606060606,0.22303030303030302,0.014,0.008,0.145,10.0,-0.3138359502730049,1.3353343350897484,188484.84848484848,True
2018-04-23,2018-04-23,0,63,42.2059018,123.5529584,8.254545454545454,7.794545454545454,0.86,2.672727272727273,0.22363636363636363,0.014,0.008,0.145,10.0,-0.3177907887836629,1.336586935620484,186681.81818181818,True
2018-04-30,2018-04-30,0,63,42.2059018,123.5529584,8.23030303030303,7.833636363636363,0.86,2.684848484848485,0.22424242424242424,0.014,0.008,0.145,10.0,-0.3217456272943209,1.3378395361512196,184878.78787878787,True
2018-05-07,2018-05-07,0,63,42.2059018,123.5529584,8.206060606060607,7.872727272727272,0.86,2.6969696969696972,0.22484848484848485,0.014,0.008,0.145,10.0,-0.32570046580497886,1.3390921366819555,183075.75757575757,True
2018-05-14,2018-05-14,0,63,42.2059018,123.5529584,8.181818181818182,7.911818181818181,0.86,2.709090909090909,0.22545454545454546,0.014,0.008,0.145,10.0,-0.32965530431563683,1.340344737212691,181272.72727272726,True
2018-05-21,2018-05-21,0,63,42.2059018,123.5529584,8.157575757575758,7.95090909090909,0.86,2.721212121212121,0.22606060606060605,0.014,0.008,0.145,10.0,-0.33361014282629486,1.3415973377434267,179469.69696969696,True
2018-05-28,2018-05-28,0,63,42.2059018,123.5529584,8.133333333333333,7.989999999999999,0.86,2.7333333333333334,0.22666666666666666,0.014,0.008,0.145,10.0,-0.33756498133695284,1.3428499382741625,177666.66666666666,True
2018-06-04,2018-06-04,0,63,42.2059018,123.5529584,8.10909090909091,8.02909090909091,0.86,2.7454545454545456,0.22727272727272727,0.014,0.008,0.145,10.0,-0.3415198198476108,1.3441025388048982,175863.63636363635,True
2018-06-11,2018-06-11,0,63,42.2059018,123.5529584,8.084848484848486,8.068181818181818,0.86,2.757575757575758,0.22787878787878788,0.014,0.008,0.145,10.0,-0.3454746583582688,1.3453551393356338,174060.60606060605,True
